HER (-1.8843482885966896, 'negemo_yes')
HER (-1.5729865241721501, 'certain_yes')
HER (-1.548783992485355, 'anger_yes')
HER (-1.2588988729459532, 'assent_yes')
HER (-1.0244026729672868, 'type_video')
HER (-0.88818372756370267, 'is_analytic_no')
HER (-0.86995044282139677, 'power_yes')
HER (-0.86811204512176032, 'discrep_yes')
HER (-0.75926369309552355, 'differ_yes')
HER (-0.6713863413579122, 'type_event')
HER (-0.66090780075963274, 'many_sixltr')
HER (-0.65820349810920464, 'risk_yes')
HER (-0.64132709682582367, 'cause_yes')
HER (-0.63941991391212527, 'high_wps')
HER (-0.63740616601629341, 'has_hashtag')
HER (-0.6351267746984961, 'anx_yes')
HER (-0.58341948186150239, 'posemo_yes')
HER (-0.45476894410138541, 'is_tone_yes')
HER (-0.44708861256167048, 'low_wps')
HER (-0.41509368431072491, 'is_clout_no')
HER (-0.41117715900362573, 'feel_yes')
HER (-0.40308196894153892, 'has_url')
HER (-0.39885347823217165, 'has_qmark')
HER (-0.34983185677870876, 'reward_yes')
HER (-0.21031057392311611, 'swear_yes')
HER (-0.07875002846777876, 'achieve_yes')
HER (-0.043688290135289014, 'affiliation_yes')
HER (-0.037797384921592792, 'type_photo')
HER (-0.0064505156408716409, 'sad_yes')
LER (3.3289308818161367, 'type_link')
LER (2.1600915874702529, 'has_exclam')
LER (1.3974788592281209, 'netspeak_yes')
LER (1.3903186647744916, 'see_yes')
LER (1.3705035721275929, 'type_status')
LER (0.94363693235611601, 'nonflu_yes')
LER (0.8002181614372752, 'few_sixltr')
LER (0.69253386800091332, 'tentat_yes')
LER (0.65237738898692088, 'is_authentic_no')
LER (0.47347806806539117, 'is_tone_no')
LER (0.29436608983383827, 'is_clout_yes')
LER (0.24270349543456221, 'is_analytic_yes')
LER (0.13698365917414532, 'hear_yes')
LER (0.13527657244113764, 'is_authentic_yes')
LER (0.10152335840605246, 'filler_yes')
LER (0.074584970515858676, 'insight_yes')
