HRT (-2.7350982914765134, 'dragon')
HRT (-2.7337877039926561, 'ska')
HRT (-2.5941171454783252, 'spacex')
HRT (-2.2111504901477539, '67p')
HRT (-2.0863992535783331, 'technology')
HRT (-1.9223117057923875, 'cometlanding')
HRT (-1.7876309790279727, 'hubblecast')
HRT (-1.7294057556281273, 'plutoflyby')
HRT (-1.6042085012774323, 'et')
HRT (-1.5447195180023678, 'astrobutch')
HRT (-1.5097520422273085, 'uk')
HRT (-1.4778453923450205, 'esa hubble')
HRT (-1.4537173142403468, 'beauty')
HRT (-1.449542645262506, 'falcon')
HRT (-1.4451083982209658, 'isscrew')
HRT (-1.442746355625143, 'fyi')
HRT (-1.4389932213319514, 'space')
HRT (-1.4216906366165618, 'yup')
HRT (-1.4204846615292632, 'iss')
HRT (-1.4122706566492527, 'extrasolar astrobiology')
HRT (-1.4114526600762545, 'nasabeyond')
HRT (-1.3649278123772712, 'hpow')
HRT (-1.3548698146302056, 'spacephoto')
HRT (-1.3337149260788597, 'exp42')
HRT (-1.2701905541175968, 'evidence')
HRT (-1.2616978582891361, 'nasa tv')
HRT (-1.2602565644182966, 'technologist')
HRT (-1.2575640409889999, '1st')
HRT (-1.2474409073880643, 'winter')
HRT (-1.2407385184394897, 'cubesat')
HRT (-1.2173614844171767, 'apply')
HRT (-1.2145041566509198, 'msl')
HRT (-1.2084433402816122, 'true')
HRT (-1.1988946744945903, 'wonder')
HRT (-1.1948257260247461, 'sunny')
HRT (-1.173946937881406, 'feb')
HRT (-1.1726354567378479, 'view')
HRT (-1.1635583524236128, 'nasa tech')
HRT (-1.1584340899719512, 'golden')
HRT (-1.1528073004842476, 'boldly')
HRT (-1.1508837110150782, 'material')
HRT (-1.148871325621968, 'humans')
HRT (-1.1452820925876193, 'pt')
HRT (-1.1449345911734472, 'wheels')
HRT (-1.1399193756488746, 'nasa chief')
HRT (-1.1308152670617171, 'new horizons')
HRT (-1.1253903861271812, 'rockets')
HRT (-1.1184822488293589, 'comments')
HRT (-1.1169553834321859, 'di caves2014')
HRT (-1.108633516835734, 'yearinspace')
HRT (-1.0929887981758284, 'mars')
HRT (-1.0869163279646121, 'featuring')
HRT (-1.0653182081041246, 'nasa esa')
HRT (-1.0652459664242715, 'dear')
